id,weibo_content,weibo_place,publish_time,publish_tool,up_num,retweet_num,comment_num
218,#曹操与杨修# 视觉盛宴：今天上午有缘在中国电影诞生地附近欣赏3D新编传统京剧《曹操与杨修》[good]京剧艺术大师尚长荣先生与言兴朋先生等京剧艺术家们的精彩演绎珠联璧合，令人感动……建议全国各艺术院团、艺校师生们择时观摩学习，弘扬国粹！[祈祷][握手][作揖] @上海京剧院SPT,无,2018-09-04 17:49,iPhone 7 Plus,1148,36,81
219,今天（农历七月二十五）是道教节日齐天大圣诞辰日，闽北、闽西北、台湾等很多地方都有齐天大圣庙，家家户户都供奉有孙悟空像，东南亚的新加坡、马来西亚等国家也有齐天大圣庙。[作揖][握手][祈祷],无,2018-09-04 08:26,iPhone 7 Plus,2877,152,397
220,一同参加猴年戏曲春晚一晃两年了，你作为当代京剧孙悟空扮演者的佼佼者之一，愿我们共同携手，弘扬西游文化。[good][握手][耶] @演员唐春园,无,2018-09-03 12:17,iPhone 7 Plus,2152,58,176
221,“2018音乐艺术大师许镜清先生《西游记》情景音乐会”昨晚上在天津体育馆隆重举行……“取经人”再聚津门[good][握手][祈祷] @央视西游记作曲许镜清 @马德华 @沙和尚刘大刚 @迟重瑞--人生只做一事又何妨 @魏慧丽al @朱龙广,无,2018-09-03 08:53,iPhone 7 Plus,1983,66,217
222,今晚在《许镜清西游记音乐情景演唱会》最后谢幕时的讲话 @央视西游记作曲许镜清 六小龄童的秒拍视频,无,2018-09-02 22:37,iPhone 7 Plus,1759,97,184
223,"转发理由:[good][握手][作揖]
原始用户: 秦皇岛晚报
转发内容: #秦皇岛身边事##秦皇岛[超话]#【“俺老孙来也”——“美猴王”六小龄童来秦畅谈行者精神】“俺老孙来也！”“妖怪！吃俺老孙一棒！”……一说到孙悟空，中国老百姓心中最先冒出来的扮演者绝对是六小龄童无疑。这么多年来的暑假，观众经常会从电视机里听到这样熟悉的声音。        9月1日，82版《西游 全",无,2018-09-02 19:04,iPhone 7 Plus,1751,30,126
224,[祈祷][祈祷][祈祷][作揖][作揖][作揖]@央视西游记作曲许镜清 一场全新的“西游记音乐”视听盛宴,无,2018-09-01 20:30,iPhone 7 Plus,1691,40,142
225,参加自传《行者》见面会的读者大到86岁的老人、小到母亲带来的刚满月的婴儿……唐山的人民[作揖][握手][祈祷][嘻嘻][泪][摊手],无,2018-09-01 14:07,iPhone 7 Plus,3304,64,254
226,今天上午唐山市新华书店来了一位看着央视版《西游记》长大、十岁后双眼失明的读者带着他的导盲犬来和我合影留念[泪][摊手]谢谢大家对我的首部自传《行者》的关注与支持……[作揖][握手][祈祷] @贰零壹陆影视传媒 @儒意影业 @北京长江新世纪 @长江文艺出版社 @行走的禅文化 @一品行的微博,无,2018-09-01 13:04,iPhone 7 Plus,1887,39,106
227,今天起各中小学及大学陆续开学，愿同学们在新学期中学业顺利，吉祥如意！“苦练七十二变，笑对八十一难”。注：苦练七十二变是指学习本领，笑对八十一难是指处事方法。[good][握手][耶],无,2018-09-01 07:58,iPhone 7 Plus,3369,84,201
228,此刻央视六套《大闹天竺》[耶][作揖][good]@大闹天竺 @王宝强,无,2018-08-31 20:10,iPhone 7 Plus,3715,34,266
229,“神猴大叔”萨尔曼·汗的又一力作[good]曾经的一代偶像铸就成当今印度国宝级的艺术家[作揖] 又一部值得欣赏、感人至深的印度好电影 [耶]可敬可佩！[祈祷][祈祷][祈祷][鲜花][鲜花][鲜花],无,2018-08-31 14:44,iPhone 7 Plus,1992,28,117
230,好的纪录片就是一部好电影[good]放映厅外未见一张宣传海报，我记住了其片名《大三儿》[握手][耶][作揖] @佟晟嘉 @电影大三儿,无,2018-08-30 16:17,iPhone 7 Plus,2076,42,120
231,国粹艺术[good][握手][作揖]@上观新闻 @上海京剧院SPT http://t.cn/RFG9rJ1,无,2018-08-30 10:47,iPhone 7 Plus,1355,27,91
232,搜狐[good][握手][耶]@长江文艺出版社 @北京长江新世纪  9月1日六小龄童将携《行者》珍藏版重返“故乡”秦皇岛,无,2018-08-30 09:48,iPhone 7 Plus,1246,22,104
233,上次转发微博中奖的六位网民朋友已陆续收到我与堂兄小七龄童为弘扬国粹戏曲艺术、猴戏艺术所合著撰写，@辽宁人民出版社 出版的《猴王世家——章氏猴戏与中国戏曲》（上下册）签名版图书，需要购买这套书的网民朋友可在我指定授权的淘宝网 @六小龄童图书签名店 内买到。@北方出版传媒上海公司,无,2018-08-29 19:24,iPhone 7 Plus,2065,53,212
234,[嘻嘻][握手][good]六小龄童的秒拍视频,无,2018-08-29 18:36,iPhone 7 Plus,1112,67,165
235,搜狐[good][握手][耶]@长江文艺出版社 @北京长江新世纪  9月1日六小龄童将携《行者》珍藏版在唐山参加读者见面会,无,2018-08-29 08:47,iPhone 7 Plus,1342,26,131
236,@北京晨报 [good]永存感激[握手][作揖][祈祷] http://t.cn/RFhWwvo,无,2018-08-28 11:31,iPhone 7 Plus,1649,30,123
237,很多年没有看日本电影了，今天有缘相识《小偷家族》[good]好电影：好剧本、好导演、好演员一一男女老少不同年龄的同行都好[耶]日语中文字幕展示[握手][作揖] @电影小偷家族,无,2018-08-27 15:40,iPhone 7 Plus,2424,37,132
238,一个月前我就接到 @长江文艺出版社 的邀请，参加8月25日下午在北京国际展览中心（新馆）的FIFB剧场作家沙龙举行的对话和讨论：东西方的《西游记》、《行者》越南语版签约仪式，六小龄童工作室的工作人员与王崇秋老师的工作人员联系，对方说要等待中国轻工业出版社的邀请通知，但我们一直没得到回复。在 全,无,2018-08-27 13:12,iPhone 7 Plus,1756,36,133
239,2017年马里发行的邮品纪念张中的三个人物：玄奘大师、吴承恩先生、美猴王孙悟空（图一），在我五十多年的艺术生涯里，有缘有幸扮演了这三位的艺术形象，感恩时代[作揖]谢谢大家的支持与关注……[耶][握手][祈祷],无,2018-08-27 10:47,iPhone 7 Plus,2900,55,228
240,昨天下午在潘家园古玩旧货市场淘到（老友赠送）民国时期罕见的连环画：《特别西游记》、《西游唐僧》，谢谢藏友们的支持……@潘家园网 [嘻嘻][握手][good],无,2018-08-27 09:38,iPhone 7 Plus,1809,58,104
241,今天中国国际广播电台CRI 越南语社交网站的主页和《玉莹信箱》等多个平台用双语同时报道[good][握手][祈祷] @CRI越南越美 @你会赢- @CHIBOOKSVIETNAM @北京长江新世纪 @长江文艺出版社 @贰零壹陆影视传媒 @儒意影业 @行走的禅文化 @一品行的微博,无,2018-08-26 22:13,iPhone 7 Plus,1367,23,154
242,中国国际广播电台《玉莹信箱》阿莹的越文报道发布我的首部自传《行者》越文版签约成功[good][握手][耶] @你会赢-  今天 @新华网 的报道[good][耶],无,2018-08-26 09:05,iPhone 7 Plus,1540,23,96
243,我的首部自传《行者》越南语版签约仪式今天下午在北京国际展览中心（新馆）成功举行：越南驻华大使馆公使范清平先生、北京长江新世纪文化传媒公司总经理 @黎波cj 先生、越南丽芝文化传播责任有限公司总经理阮丽芝女士等嘉宾和读者朋友出席盛典 [祈祷]接受中国国际广播电台《玉莹信箱》著名主持人阿莹 @你会赢- 女士等各家媒体的新闻采访[good][握手][祈祷] @北京长江新世纪 @长江文艺出版社 @CHIBOOKSVIETNAM @贰零壹陆影视传媒 @儒意影业 @行走的禅文化 @一品行的微博,无,2018-08-25 21:34,iPhone 7 Plus,1911,30,116
244,今天下午二时在北京国际展览中心新馆举行的第二十五届北京国际图书博览会暨第十六北京国际图书节上，应邀与小说《西游记》德文翻译者、著名汉学家林小发女士，北京歌德学院原院长阿克曼先生共品西游 [good][握手][耶] @歌德学院中国 @北京长江新世纪 @长江文艺出版社 @贰零壹陆影视传媒 @儒意影业  全,无,2018-08-25 19:46,iPhone 7 Plus,1595,24,107
245,"转发理由:[good][握手][耶]
原始用户: 连福
转发内容: 其实82版《西游记》之后，京剧的豫剧的昆曲的绍剧的电影的电视的都有西游记的作品，浙江卫视版电视剧《西游记》播出时在上海四位主演还和六小龄童老师等交流合影，对天津京剧院上海京剧院的猴戏武生演员也当面鼓励。真正的好作品好演员是观众给出的评价。所谓的评价老师人品的有哪一个是真正跟老师打过交道的？我第一次见他都是他主动说你还没拍，快来拍个合影吧，他照顾自己的长辈，比如弥勒佛铁牛老师，住院时专门到医院看望，去世后向社会公布讣告，很多老艺术家对民族文化艺术进步有大贡献的都是他公布的去世消息，这样就会有人说:怎么你六小龄童天天发死人的消息，还蹭热度发合影？其实，讣告这种东西很多人是避讳的，六小龄童老师不公布很多人就这么不为人知的离开了，包括李恩琪、计春华、黄宗洛、韩善续、王金璐、梅葆玖等前辈，能参加追悼会的坚持到场，因故不能去也要送花圈表示。对待晚辈，夸吴亦凡，张艺兴，王源等等，不只是面对媒体，去大学演讲也要专门说说，你们知道XXX吗，可有礼貌了，专门来我房间问好，跑过来给我送饮料等等，这样多次的夸赞晚辈在场的都知道。老师并没有沦落到靠签字售书生存，到小学演讲是公益的，签书是顺带的。也就是说不论买不买书都可以去看他的演讲，买书了还可以趁着他在留个签名纪念，然后配合拍个自拍合影，网上晒出跟他自拍合影的找个几百张还是不成问题的。有个人说自己是某机场的，看见六小龄童显摆自己是名人耍大牌因为是国航金卡商务舱要求优先登机，且不说老师一直低调，从来都是怕影响公共秩序躲着后面排队登机，即便是普通人有金卡商务舱也是优先登机吧？还有冒充吴承恩纪念馆工作人员刚刚辞职说六小龄童老师怎样怎样的，经吴承恩纪念馆查证并无此人。另外老师很多时候出门都是自己去火车站机场，不带助理，大包小包自己打车搞定。这样一个演员，从没有违法违纪违背道德的事迹，文艺座谈会专门邀请他参加，国家选定的讲好中国故事形象大使，你们觉得国家比你们还傻？网络上别有用心的人只能通过所谓的人品不好啦，卖书卖的贵啦，不跟我合影啦，跟我合影不抬头啦，跟我合影不握手啦，给我签名不写别的东西啦，我跟他打招呼居然给我白眼啦这样的脑残逻辑来印证六小龄童不是好人。还有六小龄童把自己的孙悟空形象做成铜像来卖啦（其实是铜师傅邀请老师专门打造的六小龄童系列铜像作品），六小龄童不让别的孙悟空演员活，受他的影响所有西游记的相关电影票房大跌（我微博里一个网友评论的），大家自行百度一下西游记相关院线电影的票房。六小龄童写的《六小龄童品西游》全都是鸡汤没营养啦，好像真买来看过似的。六小龄童没看过《西游记》原著啦。还有各种六小龄童的造型不像小说啦，不是孙悟空啦，不是齐天大圣啦，明眼人一看就知道怎么回事吧？（其实孙悟空最开始的造型很难看，暗棕色毛孤拐脸，慢慢的毛色变亮，最后成佛了也要有个佛的精气神吧，所以西游记的造型也是变化了好多次，大家可以仔细比对，造型设计王希钟老师也谈到过）关于知乎上有人常年来黑六小龄童老师的，还有最近哔哩哔哩专门做视频来显摆的，大家想想，一星期做好几个视频还要剪辑配乐上字幕那是超过正常的工作时间才能完成的，专门用说过多少次“戏说不是胡说，改编不是乱编”来证明六小龄童是个坏人的因果关系让大家误会，愚蠢而又可笑，还有老师在学校有上千次演讲，留下的视频不计其数，悉心搜罗加工出来几十次的重复动作然后配上脑残可笑音乐来烘托六小龄童讲的无聊可笑。我都没那么多精力找这些视频资料来，可想而知对方不是专门领着工资黑六小龄童老师，而是领着正常工资和加班钱来黑他。所谓的言论自由前提有原则能自律的人，清楚自己几斤几两什么身份什么资格说什么话的人。（配图:某网友的儿子在演讲现场请章老师抱过来合影留念，穿着孙悟空衣服也算是演孙悟空的）最后，敬告为了黑而黑的朋友:多行不义必自毙，时间会证明到最后人生一辈子谁是艺术家，谁是个笑话。【六小龄童回应“西霸”传闻】你能接受演员对经典角色的颠覆吗？",无,2018-08-25 10:14,iPhone 7 Plus,1802,44,218
246,应燕升兄相邀近日完成由他策划、导演、主持的@河北卫视 “谁与争锋：河北梆子十大名旦诞生记”的节目录制工作[good]弘扬国粹艺术的大喜事[作揖][握手][耶],无,2018-08-24 11:40,iPhone 7 Plus,1859,29,124
247,@人民日报 [good][耶][作揖] http://t.cn/RkNqZl7,无,2018-08-22 21:58,iPhone 7 Plus,1897,53,159
248,"转发理由:转发微博
原始用户: 环球网
转发内容: 她们把《西游记》序曲编成了舞蹈，每一个动作都是那么………惊艳[笑哈哈]  最神奇的视频的秒拍视频",无,2018-08-22 20:37,iPhone 7 Plus,3159,658,312
249,越南文版我的首部自传《行者》版本授权签约仪式将于本月25日下午四时在北京国际展览中心新馆（顺义）举行，愿中越人民的友谊万古长青！[good][握手][耶]@北京长江新世纪 @长江文艺出版社 @CHIBOOKSVIETNAM,无,2018-08-22 20:00,iPhone 7 Plus,1966,29,170
250,梁朝伟先生的戏一定要欣赏[good]吴亦凡演技大进[耶]今天上午观影《欧洲攻略》，剧中主演曾说：好戏还需要有好剧本（大意）[good]@Mr_凡先生  @电影欧洲攻略官博,无,2018-08-21 17:10,iPhone 7 Plus,17543,7106,3333
251,"转发理由:25日下午《行者》与读者朋友不见不散……[good][握手][耶]
原始用户: 北京长江新世纪
转发内容: 2018年8月25日15:30—16:30六小龄童老师将在BIBF展场作家沙龙W4 A36(北京市顺义区天北路中国国际展览中心)与大家分享他对西游文化的理解，讲述自己的八十一难。六小龄童曾说，“之所以定名《行者》，是因为这本自传主要讲述了我行走生命的历程，回顾过往，人生如戏，酸甜苦辣，五味杂陈。我想，自己也许正如玄奘西游一般，行走在人生的漫漫沙漠上，历经九九八十一难，探寻人生和艺术真经。”@六小龄童 #行者：一念一生-六小龄童[图书]# [中国赞]",无,2018-08-20 10:35,iPhone 7 Plus,2604,34,145
252,[耶][握手][祈祷] 《四大名著》30年前的剧照，每一张都能入画！,无,2018-08-19 21:34,iPhone 7 Plus,3951,287,339
253,昨天相遇《西虹市首富》[good]今日有缘观摩《一出好戏》，@黄渤 艺友们可喜可贺！@电影一出好戏 @王宝强 @努力努力再努力x  [握手][耶][作揖],无,2018-08-19 11:51,iPhone 7 Plus,8775,272,813
254,北京德国文化中心歌德学院 [good]25日下午《行者》在中国国际展览中心与您共话西游[作揖][握手][祈祷] @歌德学院中国 北京 | 我们请来了《西游记》德文版译者和六小龄童，探析东西方视角下的《西游记》,无,2018-08-19 10:00,iPhone 7 Plus,1495,27,84
255,#中国医师节# 今天是首届“中国医师节”，祝所有的医务工作者节日快乐！衷心地希望社会各界共同努力尊医重卫，医务工作者大力弘扬“敬佑生命、救死扶伤、甘于奉献、大爱无疆”的崇高精神，进一步推动全社会形成尊医重卫的良好氛围。[作揖][握手][祈祷],无,2018-08-19 08:06,iPhone 7 Plus,4552,128,202
256,女儿给我选了个夜场，观众几乎爆棚[good]新一代电影人正在崛起[耶]支持国产好电影，恭喜 @沈腾 艺友及主创、全体工作人员 [作揖][握手][祈祷] @电影西虹市首富,无,2018-08-18 23:09,iPhone 7 Plus,5053,34,241
257,北京潘家园旧货市场现在进行时结缘：玄奘法师（明代）译经木刻版、民国猴图铁皮烟盒、50年代《大闹天宫》铁皮铅笔盒……[good][握手][耶]@潘家园网,无,2018-08-18 17:26,iPhone 7 Plus,2116,31,123
258,[耶][鲜花][good]七夕情人节忆六小龄童在电影《周末恋爱角》中“谈恋爱”,无,2018-08-17 11:20,iPhone 7 Plus,2054,20,168
259,七夕情人节[作揖]愿有情人终成眷属[祈祷][祈祷][祈祷],无,2018-08-17 08:06,iPhone 7 Plus,6011,72,278
260,@羊城晚报金羊网（昨天）[握手][作揖] 六小龄童：猴戏不姓章！ 它属于中国！属于世界！,无,2018-08-16 08:59,iPhone 7 Plus,1662,28,182
261,[作揖][作揖][作揖][祈祷][祈祷][祈祷] 视频 | 内蒙古少年报形象大使六小龄童致小读者！,无,2018-08-15 21:46,iPhone 7 Plus,2221,20,120
262,原定今天国航18:55由上海虹桥飞往 @首都机场  ，因天气原因初定延误至20:10左右，马上改签同公司航班，一分钱没花提前至18:00将起飞[嘻嘻]这叫“歪打正着”[good][握手][耶] @中国国际航空,无,2018-08-15 18:04,iPhone 7 Plus,3781,33,207
263,"转发理由:转发微博
原始用户: 人民网
转发内容: 【此刻，无论你在哪，请为3587.9万余伤亡同胞转！】1945年8月15日，日本天皇宣布无条件投降。为这天，中国付出惨痛代价：日本铁蹄践踏我大半中华河山，超过3587.9万余军民伤亡。今天发条微博，为旧时蒙受的屈辱，为那时不屈的抗争，更为今日祖国的强大！警惕：壮大自己，才能坚守和平正义！",无,2018-08-15 12:07,iPhone 7 Plus,3042,706,118
264,昨晚台湾的中天新闻台播出的新闻片段 @俊超charlie西三水紅 六小龄童的秒拍视频,无,2018-08-15 08:22,iPhone 7 Plus,2450,53,121
265,第十五届“未来之星”特长生中国文化艺术周盛典，今天在国际大都市上海隆重开幕[good][握手][耶]@tcszg张胜,无,2018-08-14 23:06,iPhone 7 Plus,2422,34,122
266,现在进行时：第15届“未来之星”全国特长生文化艺术周开幕盛典在上海金色大厅会展中心举行。[耶][good][嘻嘻] @tcszg张胜 六小龄童的微博视频,无,2018-08-14 21:48,微博视频,2142,33,126
267,新加坡学生的小说《西游记》汉语拼音版读本 [good][握手][耶],无,2018-08-14 16:07,iPhone 7 Plus,3000,29,189
268,预祝9月8日你们夫妇在国家图书馆举办的《猴王世家》油画、国画展取得圆满成功…… @王占欣的戏曲油画 [作揖][握手][祈祷],无,2018-08-14 15:00,iPhone 7 Plus,2155,26,89
269,"转发理由:我六小龄童赶上了一个新时代、好时光[祈祷]感恩央视、杨洁导演和剧组全体演职员，更要感谢国人及海外观众朋友三十多年来的支持与厚爱……[耶][握手][作揖]
原始用户: 蓝粉云淼
转发内容: 三十多年了，西游记还是这么NB！",无,2018-08-14 13:36,iPhone 7 Plus,11319,323,1053
270,台湾“大媒体”今天刊文 [good][握手][耶]@俊超charlie西三水紅 @辽宁人民出版社,无,2018-08-14 12:54,iPhone 7 Plus,1354,16,61
271,由我领衔主演的中美合作的《敢问路在何方》中的数部3D电影正在根据出品方 @儒意影业 等合作方的精心安排下不断顺利推进，2017年10月底我已去美国好莱坞完成动作捕捉，之后又在北京做了动作捕捉并制作，最近的一次是6月20日。2017年12月14日我们主创在北京与部分媒体进行的座谈中已详细介绍了该片的最新 全,无,2018-08-14 11:49,iPhone 7 Plus,7018,487,1966
272,原定今天上午8时许乘机飞往上海参加“未来之星”少儿公益活动，恐近几天阵雨天气变化无常，昨晚上又另改订今天上午10时高铁由北京南站出发[嘻嘻]后来得知早上航班一切正常，现在飞机已停在虹桥机场了[困]人算不如天算[嘻嘻]可坐了高铁还是踏实啊……[嘻嘻][握手][祈祷],无,2018-08-14 10:36,iPhone 7 Plus,2114,22,177
273,恭祝《内蒙古少年报》越办越好！作为本报的文化形象大使我深感任重道远……谢谢你们在本月12日第三届内蒙古自治区文博会上赠送给“上海六小龄童艺术馆”的皮件纪念品，我们一定珍藏、展示。[good][握手][耶],无,2018-08-14 09:42,iPhone 7 Plus,1790,31,68
274,"转发理由:这是在戏里对我最“严厉”的师父 [祈祷][祈祷][祈祷]
原始用户: 汪粤_
转发内容: 猴子私信：与三位师傅的合影。当然我是最严励的那个师傅，又念紧箍咒、又赶走了猴子……但那是戏，那是《西游记》。生活中我们仍然是好兄弟。@六小龄童 北京 · 大红门",无,2018-08-13 20:10,iPhone 7 Plus,2682,40,159
275,应部分网民朋友的要求，发布一组我与三任师父 @汪粤_  、徐少华、 @迟重瑞--人生只做一事又何妨 的合影。[嘻嘻][握手][祈祷],无,2018-08-13 08:13,iPhone 7 Plus,6095,178,530
276,因天气原因回北京的航班取消[失望]我又回到呼和浩特，内蒙古新华书店的领导和出版社非常重视，为我安排了住处，谢谢大家的关注，祝各位晚安！[作揖][耶][月亮],无,2018-08-12 23:24,iPhone 7 Plus,6000,32,363
277,内蒙古客户端[嘻嘻][握手][耶]【现场】“齐天大圣”来啦！,无,2018-08-12 22:13,iPhone 7 Plus,2506,32,162
278,天气原因关闭首都机场，我们的航班在高空中接到地面通知先返回呼和浩特机场等待了，这回要我自己“笑对八十一小难了”[嘻嘻][晕][耶],无,2018-08-12 21:34,iPhone 7 Plus,5590,33,337
279,延误[爱心]不顺，看到这些花卉心情陡然豁朗[嘻嘻]呼和浩特机场[good]国航马上起飞回家啦[作揖][握手][祈祷]@中国国际航空,无,2018-08-12 19:01,iPhone 7 Plus,3415,31,148
280,36年啦[good]别提他了[嘻嘻]因为有了中国好观众才能产生中国好剧[作揖][耶][祈祷] 霸屏剧的经济账：《西游记》重播时每集价格能达数十万,无,2018-08-12 17:53,iPhone 7 Plus,2261,39,145
281,今天下午二时《行者》珍藏版至内蒙古新华书店面见读者、接受网易的独家专访及各大媒体的采访……[good][握手][耶]@贰零壹陆影视传媒 @儒意影业 @一品行的微博 @行走的禅文化 @六小龄童图书签名店 @长江文艺出版社 @北京长江新世纪,无,2018-08-12 17:08,iPhone 7 Plus,2039,31,95
282,内蒙古自治区宣传部副部长王小平先生在第三届文博会上为我颁发自治区阅读文化形象大使奖牌，穿上红色蒙古盛装的《行者》在呼和浩特市与读者朋友们的见面会成功而顺利举行……[耶][握手][作揖]@贰零壹陆影视传媒 @儒意影业 @行走的禅文化 @一品行的微博 @六小龄童图书签名店 @北京长江新世纪  全,无,2018-08-12 12:10,iPhone 7 Plus,2244,45,165
283,@广州日报 今天撰文：我是世界上最幸福的演员[good][握手][作揖] 我是世界上最幸福的演员,无,2018-08-12 09:54,iPhone 7 Plus,2273,53,173
284,今天上午九时许，广东省东莞图书馆点映纪录片《重走玄奘路》及同名书籍与广大读者见面[good]广州白云机场待飞呼和浩特[祈祷][祈祷][祈祷] @贰零壹陆影视传媒 @儒意影业 @一品行的微博 @行走的禅文化 @六小龄童图书签名店,无,2018-08-11 15:24,iPhone 7 Plus,2253,35,168
285,广州时不时倾盆暴雨[困]今晩七时许，大型系列纪录片《一带一路·重走玄奘路》点映仪式暨同名图书签售会在白云区四阅永泰书城如期圆满举行，衷心感谢男女老少读者的鼎力支持……[good][握手][作揖]@贰零壹陆影视传媒 @儒意影业 @一品行的微博 @行走的禅文化 @六小龄童图书签名店,无,2018-08-10 22:47,iPhone 7 Plus,2710,51,187
286,[祈祷][祈祷][祈祷] 六小龄童出演玄奘大师的纪录片《重走玄奘路》8月11日在东莞举行点映式,无,2018-08-10 21:05,iPhone 7 Plus,2130,41,143
287,@中国新闻网 [耶][作揖][祈祷] 2018南国书香节开幕 六小龄童携新书《猴王世家》亮相,无,2018-08-10 17:56,iPhone 7 Plus,1565,23,110
288,辽宁出版集团出版的《猴王世家》（由我与堂兄小七龄童合著）上、下册精装全彩版图书全球首发式，今天上午十时在广州“南国书香节”开幕式上隆重举行……[good][握手][耶] @辽宁人民出版社 @六小龄童图书签名店  @贰零壹陆影视传媒 @儒意影业 @行走的禅文化 @一品行的微博,无,2018-08-10 13:58,iPhone 7 Plus,1773,30,115
289,[good][握手][耶]http://t.cn/RDoKfx5,无,2018-08-10 12:07,iPhone 7 Plus,2077,41,219
290,"转发理由:[耶][作揖][握手]
原始用户: 六小龄童图书签名店
转发内容: 恭喜 @承恩话西游出世 @破烂侯儿 @娱乐圈大数据 @追兔子的紫菱 @木可akopolo @奋斗青年Harden  6名幸运者获赠 @六小龄童 签名的《猴王世家一一章氏猴戏与中国戏曲》（上下册）精装图文版书一套，请发私信告知你的详细通信地址、姓名、邮编、电话，以便于8月底左右寄书，谢谢大家的关注与支持！",无,2018-08-10 09:01,iPhone 7 Plus,1876,27,100
291,恭祝我艺术道路上难得的知己阚卫平（ @門敢鼎盛 ）导演（他的代表作有电视剧《大宋提刑官》等）生日快乐，吉祥如意！感谢阚导圆了我的吴承恩梦，衷心地希望电视剧《吴承恩与西游记》早日调整好内容与技术尽早与海内外的观众们见面，期待有机会再度合作。[蛋糕][good][握手],无,2018-08-10 08:00,iPhone 7 Plus,2228,27,143
292,暑期：CCTV1现在进行时[嘻嘻][握手][耶],无,2018-08-09 11:30,iPhone 7 Plus,8669,130,914
293,"转发理由:预祝 @黄渤 导演的新电影旗开得胜、一路吉祥！你我共同支持国产好电影。[good][握手][耶]
原始用户: 电影一出好戏
转发内容: 【#电影一出好戏# 北京首映礼】@六小龄童 经纪人到场，带来了老师的传记《行者》，送给@黄渤 导演，并赠言：一生《行者》就是一出好戏！ 电影一出好戏的微博视频",无,2018-08-09 09:04,iPhone 7 Plus,4609,81,183
294,台湾“大媒体”今天刊文：扮孙悟空形象经典六小龄童宝岛行[good][握手][作揖] @俊超charlie西三水紅,无,2018-08-08 21:14,iPhone 7 Plus,2877,40,212
295,衷心地希望美猴王孙悟空成为其吉祥物，支持的敬请点赞[good][握手][耶]@北京2022年冬奥会  http://t.cn/RDI7huI,无,2018-08-08 19:20,iPhone 7 Plus,6862,151,876
296,8月10日国际大都市羊城广州：南国书香节不见不散 [耶][握手][作揖] @辽宁人民出版社  @六小龄童图书签名店 六小龄童将携《重走玄奘路》纪录片及《猴王世家》新书亮相南国书香节,无,2018-08-08 09:46,iPhone 7 Plus,2023,41,180
297,"转发理由:[嘻嘻][good][耶]
原始用户: 人民网
转发内容: #北京奥运十年# 10年前的今天，北京奥运开幕。那时你多大？印象最深是什么？转发怀念那个夏天！",无,2018-08-08 08:19,iPhone 7 Plus,2641,204,292
298,立秋啦[嘻嘻]闷热难耐，每晚饭后一小时中速行走不能断[good][握手][耶],无,2018-08-07 21:08,iPhone 7 Plus,6772,88,516
299,“第十五届未来之星：全国特长生文化艺术周”（第二期）在北京隆重举行…… @tcszg张胜 [good][握手][耶],无,2018-08-06 13:59,iPhone 7 Plus,3015,42,192
300,中午在昌平与小王司机共进午餐[嘻嘻]茴香水饺与韭菜鸡蛋水饺各要一盘，大家猜我好吃哪一盘？[good][握手][耶],无,2018-08-06 13:05,iPhone 7 Plus,4904,33,595
301,看着家里“养”的这些和植物，感觉天气凉爽多了[嘻嘻][good][耶],无,2018-08-05 07:54,iPhone 7 Plus,7539,204,407
302,潘家园古玩市场现在进行时：冒着酷暑有所收获……@潘家园网 北京·潘家园旧货市场,北京·潘家园旧货市场,2018-08-04 15:43,iPhone 7 Plus,4258,78,298
303,@人民网 今天发文：第六届温哥华国际华语电影节落幕[good][握手][耶]第六届温哥华国际华语电影节落幕,无,2018-08-03 17:04,iPhone 7 Plus,2752,48,333
304,@中国教育电视台一频道 的《全国教育新闻联播》对昨天“第十五届未来之星一一特长生中国”的报道 [耶][嘻嘻][good]@tcszg张胜 六小龄童的秒拍视频,无,2018-08-02 20:35,iPhone 7 Plus,1729,37,126
305,昨晚有缘在 @CCTV戏曲频道 欣赏了多年前上海大剧院演绎的明星版话剧《霓虹灯下的哨兵》，这台别树一帜的好戏[嘻嘻]演员集中了京、昆、越、沪、淮，影、视、歌、舞、剧各界名角：达式常、魏宗万、向梅、尚长荣、陈述、严顺开、梁伟平、王汝刚、何伟、吕凉、倪萍、茅善玉、梁谷音、杨昆、 @廖昌永 、 全,无,2018-08-02 14:39,iPhone 7 Plus,2378,34,173
306,预祝： @南国书香节 暨羊城书展取得圆满成功！本月10日我与堂兄小七龄童合著的《猴王世家》在广州举行全球首发仪式，与读者朋友们不见不散…… [good][握手][祈祷] @辽宁人民出版社  @六小龄童图书签名店南国书香节暨羊城书展10日开幕，今年六小龄童要来作客！,无,2018-08-02 08:43,iPhone 7 Plus,1979,46,248
307,“第十五届未来之星一一特长生中国”今天上午在北京成功举行[good][握手][耶]@tcszg张胜,无,2018-08-01 15:06,iPhone 7 Plus,2911,55,216
308,"转发理由:[good][耶][ok]
原始用户: 六小龄童工作室
转发内容: @六小龄童 老师在第十五届“未来之星”全国特长生文化艺术周开幕盛典上勉励同学们：苦练七十二变，笑对八十一难。 @tcszg张胜 六小龄童工作室的秒拍视频",无,2018-08-01 12:26,iPhone 7 Plus,2085,36,124
309,#八一建军节#作为军人的家属，向中国军人致敬，祝愿各军兵种的官兵们节日快乐！[威武][作揖][good],无,2018-08-01 08:02,iPhone 7 Plus,9533,139,356
